-BEGIN HEADER-
NASA/POWER Source Native Resolution Daily Data 
Dates (month/day/year): 03/16/2024 through 03/17/2025 in UTC
Location: latitude  1.3175   longitude 104.0217 
elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 25.8 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
parameter(s): 
ALLSKY_SFC_SW_DWN       CERES SYN1deg All Sky Surface Shortwave Downward Irradiance (W m-2) 
CLRSKY_SFC_SW_DWN       CERES SYN1deg Clear Sky Surface Shortwave Downward Irradiance (W m-2) 
ALLSKY_SFC_SW_DNI       CERES SYN1deg All Sky Surface Shortwave Downward Direct Normal Irradiance (W m-2) 
ALLSKY_SFC_SW_DIFF      CERES SYN1deg All Sky Surface Shortwave Diffuse Irradiance (W m-2) 
TOA_SW_DWN              CERES SYN1deg Top-Of-Atmosphere Shortwave Downward Irradiance (W m-2) 
ALLSKY_SRF_ALB          CERES SYN1deg All Sky Surface Albedo (dimensionless) 
ALLSKY_SFC_PAR_TOT      CERES SYN1deg All Sky Surface Total PAR (W m-2) 
CLRSKY_SFC_PAR_TOT      CERES SYN1deg Clear Sky Surface Total PAR (W m-2) 
ALLSKY_SFC_UVA          CERES SYN1deg All Sky Surface UVA Irradiance (W m-2) 
ALLSKY_SFC_UVB          CERES SYN1deg All Sky Surface UVB Irradiance (W m-2) 
ALLSKY_SFC_UV_INDEX     CERES SYN1deg All Sky Surface UV Index (W m-2 x 40) 
T2M                     MERRA-2 Temperature at 2 Meters (C) 
T2MDEW                  MERRA-2 Dew/Frost Point at 2 Meters (C) 
T2MWET                  MERRA-2 Wet Bulb Temperature at 2 Meters (C) 
TS                      MERRA-2 Earth Skin Temperature (C) 
T2M_RANGE               MERRA-2 Temperature at 2 Meters Range (C) 
T2M_MAX                 MERRA-2 Temperature at 2 Meters Maximum (C) 
T2M_MIN                 MERRA-2 Temperature at 2 Meters Minimum (C) 
ALLSKY_SFC_LW_DWN       CERES SYN1deg All Sky Surface Longwave Downward Irradiance (W m-2) 
-END HEADER-
YEAR,MO,DY,ALLSKY_SFC_SW_DWN,CLRSKY_SFC_SW_DWN,ALLSKY_SFC_SW_DNI,ALLSKY_SFC_SW_DIFF,TOA_SW_DWN,ALLSKY_SRF_ALB,ALLSKY_SFC_PAR_TOT,CLRSKY_SFC_PAR_TOT,ALLSKY_SFC_UVA,ALLSKY_SFC_UVB,ALLSKY_SFC_UV_INDEX,T2M,T2MDEW,T2MWET,TS,T2M_RANGE,T2M_MAX,T2M_MIN,ALLSKY_SFC_LW_DWN
2024,3,16,268.68,304.39,167.3,115.17,437.19,0.06,126.06,140.92,16.64,0.65,3.9,27.41,24.81,26.11,27.65,4.55,29.95,25.4,411.64
2024,3,17,278.17,299.97,223.78,102.53,437.16,0.05,130.58,139.58,17.05,0.66,3.95,27.33,24.85,26.09,27.64,5.24,30.39,25.15,412.13
2024,3,18,279.59,307.38,235.62,91.37,437.15,0.05,132.5,144.01,17.57,0.68,4.06,27.99,25.44,26.72,28.37,4.98,31.06,26.08,420.11
2024,3,19,261.32,302.57,188.49,99.62,437.08,0.06,125.21,143.13,16.75,0.66,3.94,27.72,25.22,26.47,28.07,4.9,30.55,25.65,424.95
2024,3,20,199.89,300.37,95.29,107.14,436.96,0.05,97.72,141.96,13.56,0.54,3.07,27.58,25.0,26.29,27.97,4.6,30.46,25.86,430.85
2024,3,21,232.63,294.87,139.74,101.68,436.81,0.05,111.62,138.63,15.01,0.6,3.57,27.64,24.92,26.28,27.95,5.42,30.77,25.35,423.3
2024,3,22,288.44,303.11,244.02,97.34,436.49,0.05,136.82,142.47,17.91,0.71,4.37,27.59,24.5,26.05,27.93,5.87,31.01,25.14,415.21
2024,3,23,295.56,308.54,265.93,79.62,436.16,0.06,139.56,144.22,18.31,0.72,4.34,28.14,24.73,26.44,28.37,6.42,31.83,25.41,410.9
2024,3,24,283.98,303.3,245.82,100.12,435.87,0.05,134.02,141.76,17.59,0.7,4.26,28.12,25.0,26.56,28.44,6.51,31.81,25.3,414.12
2024,3,25,281.41,301.53,219.45,98.73,435.64,0.05,133.11,141.21,17.47,0.69,4.15,28.35,25.41,26.88,28.69,5.72,31.81,26.09,418.37
2024,3,26,263.54,299.23,238.26,89.33,435.52,0.05,125.3,140.78,16.55,0.65,3.9,27.9,25.47,26.68,28.11,5.51,30.92,25.41,417.87
2024,3,27,252.13,299.14,196.01,133.89,435.37,0.05,119.39,139.75,15.9,0.63,3.69,28.53,25.6,27.06,28.69,5.09,31.51,26.42,423.02
2024,3,28,253.12,292.55,198.03,106.8,435.15,0.05,119.86,137.18,15.85,0.62,3.67,27.84,25.66,26.75,27.78,3.13,29.44,26.31,420.24
2024,3,29,251.92,300.41,291.41,89.44,434.9,0.05,120.27,141.96,16.2,0.66,4.01,28.19,25.43,26.81,28.24,4.79,31.0,26.21,423.32
2024,3,30,256.01,302.9,217.45,98.34,434.65,0.05,123.07,143.81,16.63,0.66,3.86,28.16,24.95,26.55,28.2,5.35,30.94,25.59,425.56
2024,3,31,281.29,306.2,271.32,76.52,434.32,0.05,134.3,144.9,17.87,0.71,4.26,28.97,24.12,26.55,29.23,6.42,32.45,26.03,420.3
2024,4,1,224.85,301.91,104.59,118.47,433.95,0.04,108.79,142.82,15.06,0.61,3.61,29.52,25.15,27.33,29.97,7.71,34.05,26.34,426.57
2024,4,2,257.19,304.95,201.97,104.07,433.54,0.04,123.92,144.75,16.72,0.66,3.92,29.48,25.07,27.28,29.79,6.22,32.94,26.72,428.7
2024,4,3,265.03,303.59,230.35,82.56,433.13,0.04,126.78,143.38,16.95,0.67,4.02,28.8,25.64,27.22,29.13,5.26,31.34,26.08,428.11
2024,4,4,254.47,300.4,202.74,86.85,432.67,0.04,121.39,141.41,16.32,0.64,3.82,29.2,25.97,27.59,29.69,5.36,32.29,26.93,425.95
2024,4,5,254.22,302.43,263.06,88.57,432.19,0.04,120.79,142.14,16.28,0.64,3.83,29.02,26.02,27.52,29.45,5.49,32.17,26.68,424.53
2024,4,6,274.71,302.94,213.67,98.35,431.75,0.04,130.65,142.32,17.34,0.68,4.08,28.83,25.94,27.39,29.15,4.29,31.52,27.23,422.59
2024,4,7,269.96,299.46,227.44,87.11,431.3,0.04,128.19,140.7,16.92,0.64,3.77,29.13,26.22,27.68,29.21,4.57,31.71,27.14,431.65
2024,4,8,256.28,298.16,195.58,92.36,430.82,0.04,122.71,140.62,16.4,0.64,3.83,29.2,25.91,27.55,29.56,5.09,32.11,27.02,430.0
2024,4,9,274.6,299.06,225.57,84.1,430.29,0.04,131.54,141.7,17.48,0.69,4.18,29.01,26.38,27.69,29.17,3.96,31.44,27.48,430.83
2024,4,10,137.45,291.27,13.15,94.01,429.75,0.04,69.48,137.62,10.1,0.41,2.34,28.31,26.33,27.32,28.62,2.7,29.89,27.19,435.64
2024,4,11,202.8,294.78,100.26,102.28,429.19,0.04,98.72,139.79,13.86,0.55,3.19,28.63,26.27,27.45,28.78,3.63,30.71,27.08,434.7
2024,4,12,43.11,298.71,9.88,31.88,428.65,0.04,23.75,141.85,3.73,0.14,0.75,27.61,25.84,26.73,28.09,2.9,29.22,26.32,424.68
2024,4,13,246.98,298.6,229.95,93.02,428.16,0.04,118.92,142.0,16.18,0.63,3.61,28.27,25.95,27.11,28.53,4.09,30.66,26.57,430.12
2024,4,14,196.35,294.74,85.91,103.45,427.67,0.04,96.38,139.74,13.59,0.54,3.12,28.17,25.84,27.0,28.54,3.56,30.26,26.7,434.4
